"id","brand_name","limited"
"1","Jan Marini(ジャンマリーニ)","false"
"2","Revitalash(リバイタラッシュ)","false"
"3","NUXE(ニュクス)","false"
"4","TOCCA(トッカ)","false"
"5","AVEDA(アヴェダ)","false"
"6","RMK(アールエムケー)","false"
"7","BIODERMA(ビオデルマ)","false"
"8","LA ROCHE-POSAY(ラロッシュポゼ)","false"
"9","WELEDA(ヴェレダ)","false"
"10","Fragonard(フラゴナール)","false"
"11","Exuviance(エクスビアンス)","false"
"12","L'OCCITANE(ロクシタン)","false"
"13","Bath & Body Works(バスアンドボディーワークス)","false"
"15","Benefit(ベネフィット)","false"
"16","EGYPTIAN MAGIC(エジプシャンマジック)","false"
"17","SEPHORA(セフォラ)","false"
"19","SKIN FOOD(スキンフード)","false"
"20","banila co(バニラコー)","false"
"21","ETUDE HOUSE(エチュードハウス)","false"
"22","Dr.Hauschka(ドクターハウシュカ)","false"
"23","ISH(イシュ)","false"
"24","Green Mama(グリーンママ)","false"
"25","Reviva Labs(レビバラボズ)","false"
"26","Annick Goutal(アニックグタール)","false"
"27","Whitestrips(ホワイトストリップス)","false"
"28","Avene(アベンヌ)","false"
"29","Bliss(ブリス)","false"
"30","Agronatura(アグロナチュラ)","false"
"31","MAC(マック)","false"
"32","Jo Malone(ジョーマローン)","false"
"33","MOLTON BROWN(モルトンブラウン)","false"
"34","CAUDALIE(コーダリー)","false"
"35","Durance(デュランス)","false"
"36","PERFECT POTION(パーフェクトポーション)","false"
"37","Monyette Paris(モニエットパリス)","false"
"38","PHYTOMER(フィトメール)","false"
"39","EMBRYOLISSE(アンブリオリス)","false"
"40","Eucerin(ユーセリン)","false"
"41","Aura Cacia(オウラカシア)","false"
"42","Santa Maria Novella(サンタマリアノヴェッラ)","false"
"43","GIVENCHY(ジバンシィ)","false"
"44","LANCOME(ランコム)","false"
"45","OPI(オーピーアイ)","false"
"46","NARS(ナーズ)","false"
"47","BOBBI BROWN(ボビイ ブラウン)","false"
"48","Stila(スティラ)","false"
"50","Oe(オーガニックエレメンツ)","false"
"51","Organic Pharmacy(オーガニックファーマシー)","false"
"52","KORRES(コレス)","false"
"53","GUERLAIN(ゲラン)","false"
"55","DECLEOR(デクレオール)","false"
"57","laura mercier(ローラメルシエ)","false"
"59","ESTEE LAUDER(エスティーローダー)","false"
"60","Carole Franck(キャロルフランク)","false"
"62","Patyka(パティカ)","false"
"64","JURLIQUE(ジュリーク)","false"
"65","FredericFekkai(フレデリックフェッカイ)","false"
"66","AESOP(イソップ)","false"
"67","wAtOSA(ワトゥサ)","false"
"68","PHILIP B(フィリップビー)","false"
"69","L'ARTISAN PARFUMEUR(ラルチザンパフューム)","false"
"70","ERB(アーヴ)","false"
"71","MILLER HARRIS(ミラーハリス)","false"
"72","CREED(クリード)","false"
"73","DIPTYQUE(ディプティック)","false"
"75","LA MER(ラ・メール)","false"
"76","AROMATHERAPY ASSOCIATES(アロマセラピーアソシエイツ)","false"
"77","dermalogica(ダーマロジカ)","false"
"78","AHAVA(アハバ)","false"
"79","KERASTASE(ケラスターゼ)","false"
